change_id,pipeline_id,record_id,data,data_before,operation,is_deleted,source_table,source_schema,event_time,ingested_at
b13cbf91a0f75017ae4485e2caa3d6b3,pipe_8346d51ff0ca,17,"{""contact_number"":""(017) 9339973"",""created_at"":""2026-02-01T15:33:52.796Z"",""date_of_birth"":""1998-02-03T00:00:00.000Z"",""hire_date"":""2023-08-20T00:00:00.000Z"",""hourly_rate"":""13.27"",""id"":17,""last_name"":""de Korte"",""name"":""Lize"",""updated_at"":""2026-02-01T15:33:52.796Z""}",,CREATE,false,employees,public,2026-02-01 08:33:55.369000 UTC,2026-02-01 08:33:55.439000 UTC
1fe49e179f6a23fc7ba0d2265df2bbc9,pipe_8346d51ff0ca,12,"{""contact_number"":""(091)-9764682"",""created_at"":""2026-02-01T15:33:11.551Z"",""date_of_birth"":""1999-01-25T00:00:00.000Z"",""hire_date"":""2023-06-01T00:00:00.000Z"",""hourly_rate"":""13.27"",""id"":12,""last_name"":""Honing"",""name"":""Esm�e"",""updated_at"":""2026-02-01T15:33:11.551Z""}",,CREATE,false,employees,public,2026-02-01 08:33:16.103000 UTC,2026-02-01 08:33:22.655000 UTC
0959b113fc4f050feb9e13102ae3b70a,pipe_8346d51ff0ca,12,"{""contact_number"":""(091)-9764682"",""created_at"":""2026-02-01T15:33:11.551Z"",""date_of_birth"":""1999-01-25T00:00:00.000Z"",""hire_date"":""2023-06-01T00:00:00.000Z"",""hourly_rate"":""13.27"",""id"":12,""last_name"":""Honing"",""name"":""Esm�e"",""updated_at"":""2026-02-01T15:33:11.551Z""}",,CREATE,false,employees,public,2026-02-01 08:33:25.754000 UTC,2026-02-01 08:33:30.159000 UTC
4498914e584d1ed245a2b0c515bd8522,pipe_8346d51ff0ca,13,"{""contact_number"":""0048-830404"",""created_at"":""2026-02-01T15:33:52.778Z"",""date_of_birth"":""1999-07-19T00:00:00.000Z"",""hire_date"":""2023-06-01T00:00:00.000Z"",""hourly_rate"":""13.27"",""id"":13,""last_name"":""Zeldenrust"",""name"":""Lois"",""updated_at"":""2026-02-01T15:33:52.778Z""}",,CREATE,false,employees,public,2026-02-01 08:33:53.155000 UTC,2026-02-01 08:33:53.859000 UTC
dc65e8afe0bf498cdcd5f8f203ce7b3f,pipe_8346d51ff0ca,21,"{""contact_number"":""+31418-279186"",""created_at"":""2026-02-01T15:33:52.811Z"",""date_of_birth"":""2000-08-24T00:00:00.000Z"",""hire_date"":""2023-07-21T00:00:00.000Z"",""hourly_rate"":""13.27"",""id"":21,""last_name"":""van Veen"",""name"":""Sofia"",""updated_at"":""2026-02-01T15:33:52.811Z""}",,CREATE,false,employees,public,2026-02-01 08:33:57.006000 UTC,2026-02-01 08:33:57.110000 UTC
a0d2391d9edeca0657bfa2ce7945a10e,pipe_8346d51ff0ca,11,"{""contact_number"":""0386744112"",""created_at"":""2026-02-01T15:01:00.433Z"",""date_of_birth"":""2000-10-12T00:00:00.000Z"",""hire_date"":""2025-01-01T00:00:00.000Z"",""hourly_rate"":""28.00"",""id"":11,""last_name"":""Tran"",""name"":""Hieu"",""updated_at"":""2026-02-01T15:01:00.433Z""}",,CREATE,false,employees,public,2026-02-01 08:01:01.301000 UTC,2026-02-01 08:01:02.231000 UTC
bf9f7c482f684c8855c8ca8fc9ea8afc,pipe_8346d51ff0ca,19,"{""contact_number"":""+3112 5715586"",""created_at"":""2026-02-01T15:33:52.803Z"",""date_of_birth"":""2001-01-09T00:00:00.000Z"",""hire_date"":""2023-08-26T00:00:00.000Z"",""hourly_rate"":""13.27"",""id"":19,""last_name"":""Prins"",""name"":""Johanna"",""updated_at"":""2026-02-01T15:33:52.803Z""}",,CREATE,false,employees,public,2026-02-01 08:33:55.443000 UTC,2026-02-01 08:33:55.511000 UTC
7debf13525086799be3e8e6650d84d06,pipe_8346d51ff0ca,16,"{""contact_number"":""(026)-7919888"",""created_at"":""2026-02-01T15:33:52.793Z"",""date_of_birth"":""2002-08-23T00:00:00.000Z"",""hire_date"":""2023-08-11T00:00:00.000Z"",""hourly_rate"":""13.27"",""id"":16,""last_name"":""van Duivenvoorde"",""name"":""Senna"",""updated_at"":""2026-02-01T15:33:52.793Z""}",,CREATE,false,employees,public,2026-02-01 08:33:55.155000 UTC,2026-02-01 08:33:55.479000 UTC
1671afd606e3dbdc7075af0065c48adc,pipe_8346d51ff0ca,18,"{""contact_number"":""(065)-1233101"",""created_at"":""2026-02-01T15:33:52.799Z"",""date_of_birth"":""2003-10-07T00:00:00.000Z"",""hire_date"":""2023-09-15T00:00:00.000Z"",""hourly_rate"":""10.62"",""id"":18,""last_name"":""de Grote"",""name"":""Collin"",""updated_at"":""2026-02-01T15:33:52.799Z""}",,CREATE,false,employees,public,2026-02-01 08:33:55.403000 UTC,2026-02-01 08:33:55.475000 UTC
1dfce0234fa1e723a9775c39e0183509,pipe_8346d51ff0ca,14,"{""contact_number"":""+31825-030966"",""created_at"":""2026-02-01T15:33:52.785Z"",""date_of_birth"":""2004-08-23T00:00:00.000Z"",""hire_date"":""2023-09-02T00:00:00.000Z"",""hourly_rate"":""7.96"",""id"":14,""last_name"":""Oude Heer"",""name"":""Micha"",""updated_at"":""2026-02-01T15:33:52.785Z""}",,CREATE,false,employees,public,2026-02-01 08:33:53.355000 UTC,2026-02-01 08:33:54.356000 UTC
7f922bef76c5e83dd591258a47769ed2,pipe_8346d51ff0ca,20,"{""contact_number"":""+31(0)320-297117"",""created_at"":""2026-02-01T15:33:52.807Z"",""date_of_birth"":""2004-11-26T00:00:00.000Z"",""hire_date"":""2023-07-30T00:00:00.000Z"",""hourly_rate"":""7.96"",""id"":20,""last_name"":""Janssen"",""name"":""Fatima"",""updated_at"":""2026-02-01T15:33:52.807Z""}",,CREATE,false,employees,public,2026-02-01 08:33:56.255000 UTC,2026-02-01 08:33:56.510000 UTC
f2a571586deaed4f27108dbeaad79c8e,pipe_8346d51ff0ca,15,"{""contact_number"":""052-8715513"",""created_at"":""2026-02-01T15:33:52.789Z"",""date_of_birth"":""2006-07-18T00:00:00.000Z"",""hire_date"":""2023-09-08T00:00:00.000Z"",""hourly_rate"":""5.24"",""id"":15,""last_name"":""van Nederlotharingen"",""name"":""Jolie"",""updated_at"":""2026-02-01T15:33:52.789Z""}",,CREATE,false,employees,public,2026-02-01 08:33:54.454000 UTC,2026-02-01 08:33:55.457000 UTC
d18fed82264b6370ee4cfd39b6c2c599,pipe_8346d51ff0ca,15,"{""contact_number"":""052-8715513"",""created_at"":""2026-02-01T15:33:52.789Z"",""date_of_birth"":""2006-07-18T00:00:00.000Z"",""hire_date"":""2023-09-08T00:00:00.000Z"",""hourly_rate"":""5.24"",""id"":15,""last_name"":""van Nederlotharingen"",""name"":""Jolie"",""updated_at"":""2026-02-01T15:33:52.789Z""}","{""contact_number"":""052-8715513"",""created_at"":""2026-02-01T15:33:52.789Z"",""date_of_birth"":""2006-07-18T00:00:00.000Z"",""hire_date"":""2023-09-08T00:00:00.000Z"",""hourly_rate"":""5.24"",""id"":15,""last_name"":""van Nederlotharingen"",""name"":""Jolie"",""updated_at"":""2026-02-01T15:33:52.789Z""}",DELETE,true,employees,public,2026-02-01 08:34:23.254000 UTC,2026-02-01 08:34:23.603000 UTC
